"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Zaccharie Risacher,Atl,*,F,20.7,23,24.8,18.9,7.9,31,0.677,122,0.598,100,0.29,0.525,0.539,11,2.8,1.6,1.1,0.6,0.8,13.8,12.6,15.4,5.9,107.4,112.6"
",Jalen Johnson,Atl,*,F,24,23,35.1,26.4,17.5,137,0.81,272,0.574,95,0.389,0.576,0.625,23.2,10.5,8,1.6,0.3,3.4,33.7,31.3,41.7,14.2,121.4,109.2"
",Kristaps Porzingis,Atl,*,F-C,30.4,13,25.9,26.2,6.7,69,0.855,101,0.584,66,0.364,0.569,0.631,19.2,5.6,3.1,0.5,1.6,0.9,24.8,22.2,27.8,10.7,130.8,106.1"
",Dyson Daniels,Atl,*,G,22.7,26,33.9,16.4,18.9,46,0.652,220,0.541,42,0.143,0.489,0.507,11,6.3,5.8,2.1,0.3,2.3,17.3,16.8,23.1,8.7,109.4,111.5"
",Trae Young,Atl,*,G,27.2,5,27.8,29.5,12.4,39,0.821,44,0.477,26,0.192,0.407,0.511,17.8,2,7.8,0.8,0.2,2,19.8,25.6,27.6,9.4,112.6,115.8"
",Nickeil Alexander-Walker,Atl,*,G,27.3,24,32.6,24.8,12.5,103,0.864,183,0.541,179,0.391,0.564,0.61,20.7,3.5,3.3,1,0.7,2.2,24.2,24,27.4,7.6,115,115.1"
",Keaton Wallace,Atl,*,G,26.8,24,14.4,14.2,15.1,10,0.5,35,0.371,60,0.417,0.532,0.533,4.4,1.5,2.7,0.7,0.2,0.7,5.9,7.1,8.6,7.3,111.3,110.8"
",Luke Kennard,Atl,*,G,29.5,23,20.5,13.9,15.7,21,0.952,48,0.542,75,0.427,0.602,0.635,7.3,1.9,2.3,0.8,0,1,9.2,9.7,11.5,6.2,120.5,115.9"
",Onyeka Okongwu,Atl,*,F-C,25,25,30.6,21,14.5,70,0.757,173,0.618,127,0.346,0.577,0.603,16,7.2,3,0.9,1.2,2,23.2,19,26.2,9.2,115,106.9"
",Mouhamed Gueye,Atl,*,F,23.1,26,17.2,14.6,11.7,21,0.571,74,0.649,54,0.278,0.551,0.557,5.9,3.7,1,0.6,0.7,0.7,9.6,6.8,10.5,6.5,113.7,108.6"
",Kelly Oubre Jr.,Phi,*,F-G,30,12,34.8,18.4,10.8,38,0.789,82,0.622,67,0.343,0.574,0.606,16.8,5.1,1.3,1.1,0.8,1.5,21.8,18.1,23.2,5.5,116.9,110.8"
",Dominick Barlow,Phi,*,F,22.6,15,26.8,12.6,15.4,26,0.846,68,0.588,25,0.24,0.527,0.574,8,5.7,1.9,0.7,1.1,1.1,13.7,9.9,15.7,6.6,120.7,109"
",Joel Embiid,Phi,*,C-F,31.7,10,25.7,34.7,13.2,71,0.817,107,0.523,51,0.216,0.459,0.536,20.3,5.9,3,0.8,1.2,2.4,26.2,23.3,29.2,11.1,108.5,108.6"
",VJ Edgecombe,Phi,*,G,20.4,21,34.8,18.9,11.7,53,0.755,165,0.442,106,0.387,0.496,0.525,14.7,5.6,4,1.3,0.4,1.7,20.3,18.8,24.3,7.9,112.2,108.9"
",Tyrese Maxey,Phi,*,G,25.1,23,39.9,30.3,10.5,168,0.881,312,0.519,215,0.391,0.546,0.602,31.5,4.7,7.2,1.7,0.9,2.7,36.2,38.7,43.4,10.2,123,112.2"
",Quentin Grimes,Phi,*,G,25.6,23,33.2,20.3,18.3,93,0.86,121,0.545,147,0.367,0.549,0.605,16.3,4.3,4.3,0.9,0.4,2.6,20.5,20.6,24.9,8.1,115.2,112.8"
",Adem Bona,Phi,*,F,22.7,17,16.1,9.6,23,24,0.583,37,0.568,3,0.333,0.563,0.583,3.5,3.7,0.2,0.4,1.5,0.7,7.2,3.6,7.4,3.4,115.1,105.6"
",Jabari Walker,Phi,*,F,23.4,23,13.7,14.1,13.6,25,0.76,47,0.553,35,0.343,0.537,0.575,4.7,3.5,0.6,0.1,0.3,0.6,8.1,5.2,8.7,6.3,119.7,104.2"
",Justin Edwards,Phi,*,F,22,21,17.3,15.7,13.7,11,0.909,40,0.475,73,0.342,0.5,0.522,5.9,1.9,1.5,0.6,0.2,0.9,7.7,7.3,9.2,5.9,106.1,108.4"
",Andre Drummond,Phi,*,C,32.3,23,21.5,13.7,13.7,35,0.629,97,0.588,29,0.379,0.583,0.598,7.3,9.3,0.8,0.7,1,0.9,16.7,8.1,17.5,7,129.5,102.8"
",Jaylen Brown,Bos,*,G-F,29.1,24,33.5,36.1,14.3,172,0.791,374,0.548,139,0.367,0.549,0.594,29.1,6.1,4.8,1.1,0.3,3.6,35.2,34,40,11.3,116.5,109.9"
",Sam Hauser,Bos,*,F,28,25,22.3,14.3,7.1,4,0.75,22,0.364,149,0.342,0.494,0.498,6.9,3.5,1.4,0.6,0.3,0.5,10.4,8.3,11.8,5.8,111.7,115.4"
",Neemias Queta,Bos,*,C,26.4,23,24.3,15.1,10.9,49,0.612,152,0.664,3,0,0.652,0.657,10.1,8.3,1.6,0.7,1.3,0.8,18.3,11.7,20,8.4,141.7,103.7"
",Payton Pritchard,Bos,*,G,27.9,25,32.3,21.4,7.9,50,0.86,148,0.588,202,0.337,0.54,0.566,16.8,4.3,5,0.7,0.1,1.2,21.1,21.9,26.2,8.8,126.2,117.4"
",Derrick White,Bos,*,G,31.4,24,33,23.9,10.7,64,0.844,149,0.47,219,0.333,0.488,0.521,17.2,4,5.2,1.4,1.3,1.8,21.2,22.4,26.4,8.6,114.6,115.5"
",Xavier Tillman,Bos,*,F,26.9,11,9.4,13.3,12.5,0,0,15,0.733,13,0.231,0.554,0.554,2.8,2.2,0.5,0.5,0.2,0.4,5,3.3,5.5,6.2,119.7,109.6"
",Josh Minott,Bos,*,F,23,24,19.2,13.9,11.5,24,0.75,55,0.582,68,0.456,0.638,0.655,7.3,4.5,1.3,0.8,0.5,0.7,11.8,8.6,13.1,7.3,136.7,109.7"
",Anfernee Simons,Bos,*,G,26.5,25,23.7,22.7,8.8,41,0.878,115,0.487,153,0.392,0.545,0.573,13.1,2.2,2.5,0.5,0.2,1,15.3,15.6,17.8,7,119.7,114.8"
",Chris Boucher,Bos,*,F,32.9,8,11.3,11.8,4.3,4,0.75,10,0.6,12,0.083,0.341,0.379,2.3,2.3,0.4,0.6,0.9,0.1,4.5,2.6,4.9,4.5,92.7,97"
",Luka Garza,Bos,*,C,27,19,13.1,15.8,10.2,31,0.774,45,0.644,25,0.44,0.65,0.687,6.1,3.5,0.8,0.3,0.4,0.4,9.5,6.8,10.3,7.9,149.9,99"
",Ausar Thompson,Det,*,G-F,22.9,21,27.6,18.2,13.5,66,0.561,182,0.538,16,0.313,0.533,0.546,11.8,6,3,1.5,0.7,1.5,17.8,14.8,20.8,8.6,115.4,104.9"
",Tobias Harris,Det,*,F,33.4,15,29.1,19.2,9.1,42,0.833,102,0.5,68,0.382,0.529,0.57,14.3,4.9,2.3,0.6,0.3,1.1,19.3,16.7,21.6,7.5,119.4,108.7"
",Jalen Duren,Det,*,C,22.1,22,29,22.4,19.3,146,0.747,230,0.652,0,0,0.652,0.695,18.6,11.3,1.8,0.7,1,2.5,29.9,20.4,31.7,10,130.9,101.4"
",Duncan Robinson,Det,*,F,31.6,23,31.3,14.1,7.3,36,0.778,43,0.581,173,0.405,0.602,0.621,12.5,3,2,1,0.3,0.7,15.6,14.5,17.6,5.4,127.8,110.5"
",Cade Cunningham,Det,*,G,24.2,22,35.8,31.6,15.5,169,0.828,315,0.517,137,0.307,0.5,0.562,26.9,6.1,9.1,1.5,0.9,3.8,33,36,42.2,12.8,117.9,107.1"
",Isaiah Stewart,Det,*,F-C,24.6,22,22.4,16.7,13.7,46,0.739,103,0.621,54,0.407,0.618,0.643,10.4,5.9,1.3,0.2,1.9,1.1,16.3,11.6,17.5,7.7,126.1,100.9"
",Caris LeVert,Det,*,G,31.3,19,20.5,18.7,17.1,46,0.63,67,0.507,64,0.422,0.569,0.588,9.4,1.6,3.1,0.7,0.5,1.4,11,12.5,14.1,7,115.5,112.5"
",Ronald Holland II,Det,*,F,20.4,25,21.2,18.2,16.6,47,0.809,112,0.5,68,0.265,0.461,0.508,8.2,3.4,1.6,1.6,0.2,1.4,11.5,9.8,13.2,6.7,102.2,103.4"
",Paul Reed,Det,*,F,26.5,19,11.6,20.5,19.6,20,0.6,69,0.681,13,0.462,0.683,0.683,6.5,4.5,1.2,0.8,0.7,1.1,11.1,7.7,12.2,11.3,128.1,97.5"
",Javonte Green,Det,*,G,32.4,25,18.6,14.8,12.6,42,0.786,64,0.531,67,0.328,0.511,0.559,6.7,2.6,0.8,1.1,0.4,0.8,9.3,7.5,10.1,5.2,113.2,107.9"
",Isaac Okoro,Chi,*,F-G,24.9,16,24.9,13.9,12.1,21,0.762,60,0.567,49,0.367,0.56,0.584,8.6,2.7,1.6,0.4,0.6,0.9,11.3,10.2,12.9,5.4,116.2,112.7"
",Matas Buzelis,Chi,*,F,21.2,24,28.4,20.5,15.7,66,0.818,150,0.573,108,0.324,0.537,0.577,13.8,5.5,1.6,0.8,1.4,2,19.3,15.4,20.8,7,106.4,111.6"
",Nikola Vucevic,Chi,*,C,35.1,23,30,21.4,11.8,39,0.769,188,0.548,110,0.382,0.557,0.574,15.7,9.2,3.4,0.7,0.3,1.7,25,19.1,28.3,10.5,116.3,112.3"
",Tre Jones,Chi,*,G,25.9,18,28.4,17.4,16.3,81,0.852,122,0.566,27,0.296,0.544,0.626,12.8,3.2,4.9,1.6,0.2,1.6,16,17.7,20.9,8.2,126.5,116.6"
",Josh Giddey,Chi,*,G,23.2,22,34.2,25.8,19.8,131,0.748,227,0.515,100,0.4,0.541,0.588,20.5,9.4,9,1,0.5,3.7,30,29.5,38.9,14.1,116.4,114.1"
",Kevin Huerter,Chi,*,G-F,27.3,19,24.1,20,11.6,33,0.848,92,0.641,90,0.3,0.547,0.578,11.9,3.3,2.4,0.8,0.7,1.3,15.2,14.4,17.6,7.6,112.2,113.7"
",Ayo Dosunmu,Chi,*,G,25.9,20,27.8,19.6,11.7,56,0.857,130,0.546,80,0.475,0.61,0.648,15.2,2.7,3.2,0.6,0.3,1.4,17.9,18.4,21.1,7.3,123.8,118.1"
",Patrick Williams,Chi,*,F,24.3,23,21.2,16.4,13.4,29,0.655,71,0.352,84,0.417,0.5,0.519,7.6,3.3,1.3,1,0.3,1,10.9,8.8,12.2,6,102.1,113.9"
",Jalen Smith,Chi,*,F-C,25.7,19,17,22.5,10.9,23,0.739,67,0.582,80,0.375,0.571,0.589,9.7,6.1,1.2,0.3,0.7,0.9,15.8,10.9,17,9.7,119.2,108.6"
",Dalen Terry,Chi,*,F,23.4,14,11.3,13.4,20.8,7,0.429,24,0.625,14,0.214,0.513,0.511,3,1.8,1.4,0.8,0.3,0.7,4.8,4.4,6.2,6.9,104.5,109.9"
",Trey Murphy III,Nor,*,F,25.5,24,35.5,22.5,12,96,0.906,186,0.608,180,0.361,0.575,0.622,21.2,6.4,3.6,1.8,0.2,2.1,27.5,24.8,31.1,8.9,122.4,118.4"
",Zion Williamson,Nor,*,F,25.4,10,30.9,29.8,17.6,101,0.723,142,0.521,3,0,0.51,0.583,22.1,5.6,4,1.6,0.5,3.1,27.7,26.1,31.7,10.2,114.4,117.8"
",Yves Missi,Nor,*,C,21.6,19,19.2,13.2,18.2,26,0.538,85,0.553,0,0,0.553,0.56,5.7,5.6,1.2,0.2,1.1,1,11.3,6.9,12.5,7,123.1,116.6"
",Herbert Jones,Nor,*,F,27.2,18,29.1,15.7,14,28,0.786,86,0.442,73,0.342,0.475,0.505,9.6,3.9,2.3,1.5,0.3,1.4,13.6,11.9,15.8,6.1,103.5,112.8"
",Jordan Poole,Nor,*,G,26.5,8,29.8,26.2,11.9,35,0.971,48,0.417,70,0.329,0.462,0.536,17.9,1.6,3.4,0.4,0.4,2,19.5,21.3,22.9,6.2,108.9,121"
",Saddiq Bey,Nor,*,G-F,26.7,25,29.3,19,5.3,75,0.76,154,0.539,130,0.346,0.53,0.565,14.3,6,2.3,0.9,0.1,0.6,20.3,16.6,22.6,7.9,124.5,122.3"
",Hunter Dickinson,Nor,*,C,25,1,4.7,35.6,50,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,1,2,2,2,2,0,42.7,84.6"
",Jordan Hawkins,Nor,*,G,23.6,22,14.4,17.9,7.7,12,0.667,51,0.353,69,0.333,0.438,0.451,5.1,1.6,0.9,0.1,0.1,0.5,6.8,6,7.6,5.4,97.1,124.5"
",Jeremiah Fears,Nor,*,G,19.2,26,27.6,25.5,14.7,85,0.8,257,0.471,85,0.365,0.49,0.531,15.5,3.5,3.1,1.4,0.2,2.3,19,18.6,22.1,8,103.5,118.2"
",Derik Queen,Nor,*,C,21,26,25.3,22.6,18.4,104,0.798,234,0.534,18,0.111,0.508,0.569,13,6.3,4,1,0.8,2.2,19.4,17,23.4,10.9,114.1,109.7"
",Kentavious Caldwell-Pope,Mem,*,G,32.8,25,21.9,16.3,16,38,0.921,81,0.42,86,0.337,0.464,0.517,7.6,2.3,3.2,0.8,0.2,1.3,9.9,10.8,13.1,7,106.4,114"
",Jaren Jackson Jr.,Mem,*,F-C,26.2,23,29.2,24.2,13,86,0.767,203,0.537,105,0.324,0.519,0.558,16.8,5,1.9,0.8,1,2,21.8,18.7,23.7,7.4,105.3,102.8"
",Jock Landale,Mem,*,C,30.1,25,21.6,19,11.9,49,0.673,137,0.569,62,0.435,0.595,0.612,10.8,5.5,1.5,0.5,0.4,1.1,16.3,12.3,17.8,8.3,122.5,104.5"
",Jaylen Wells,Mem,*,F,22.3,25,26.7,17.9,7.4,68,0.779,115,0.522,124,0.371,0.54,0.578,12.4,3.5,1.7,0.7,0,0.8,16,14.1,17.6,6.3,118.8,110.5"
",Ja Morant,Mem,*,G,26.3,13,28.5,33.3,18.5,76,0.921,150,0.433,65,0.185,0.386,0.475,18.2,3.5,7.8,0.9,0.2,3.8,21.7,25.9,29.5,11.1,98.9,110"
",Olivier-Maxence Prosper,Mem,*,F,23.4,13,9.4,17.9,11.8,24,0.917,28,0.5,9,0.111,0.419,0.557,4.1,2.4,0.5,0.2,0.1,0.4,6.5,4.5,6.9,7.2,120.3,110.3"
",Santi Aldama,Mem,*,F-C,24.9,25,26.4,20.4,8.7,64,0.672,160,0.563,111,0.342,0.542,0.563,13.5,6.5,3,1,0.7,1,20,16.4,22.9,9.7,117.3,109.8"
",Javon Small,Mem,*,G,23,8,12.4,16.9,22,10,0.8,9,0.444,19,0.316,0.464,0.525,4.3,1,2.8,0,0.1,1,5.3,7,8,7.4,108,113.4"
",Cedric Coward,Mem,*,G,22.3,25,27.2,20.2,12.3,69,0.841,150,0.56,114,0.325,0.528,0.572,13.5,6.4,2.8,0.6,0.3,1.5,19.9,16.3,22.7,9.2,115.3,108.9"
",Cam Spencer,Mem,*,G,25.7,25,21.4,18.3,14.3,45,0.911,65,0.523,120,0.492,0.662,0.698,11.4,2.1,3.9,0.8,0.1,1.2,13.6,15.3,17.4,8.5,131.9,110.3"
",John Konchar,Mem,*,G,29.7,22,13,9,12,9,0.667,23,0.739,28,0.321,0.598,0.61,3,2.7,1.2,0.9,0.3,0.3,5.7,4.3,7,6.6,128.9,107.4"
",Khris Middleton,Was,*,F,34.3,16,25.8,17.9,17.5,26,0.731,96,0.552,40,0.35,0.544,0.566,10.4,4.2,3.5,0.7,0.4,1.8,14.6,13.9,18.1,8.3,111.2,117.8"
",Kyshawn George,Was,*,F,22,21,31.2,21.2,22.3,53,0.755,123,0.496,117,0.444,0.579,0.604,15.1,5.7,4.7,1.1,0.9,3.3,20.9,19.8,25.5,9.5,107.2,113.9"
",Alexandre Sarr,Was,*,C,20.6,16,29.7,26.5,12.4,59,0.627,189,0.561,52,0.346,0.552,0.568,18.9,8.6,3.3,0.8,2,2.1,27.5,22.2,30.8,10.9,112.8,119.6"
",CJ McCollum,Was,*,G,34.2,23,30.3,25.2,9.6,73,0.781,177,0.486,173,0.399,0.541,0.571,19,3.1,3.5,0.7,0.3,1.6,22,22.4,25.5,7.8,113.7,123.5"
",Bub Carrington,Was,*,G,20.4,23,26.4,15.9,23.1,25,0.72,79,0.304,90,0.422,0.479,0.5,7.8,3.5,4.4,0.5,0.1,2.2,11.3,12.2,15.7,7.5,97.6,121.1"
",Marvin Bagley III,Was,*,F,26.8,19,18.7,17.5,14.3,35,0.714,104,0.615,10,0.5,0.627,0.649,8.8,5.3,1.4,0.5,0.7,1,14.1,10.3,15.5,8.6,130.4,116.5"
",Tre Johnson,Was,*,G,19.8,16,23.8,20.4,14.1,20,0.8,73,0.493,79,0.38,0.533,0.553,11.1,2.9,1.3,0.4,0.4,1.6,14,12.4,15.3,5.8,101.2,122.9"
",Cam Whitmore,Was,*,F,21.4,21,16.9,23.7,9.6,31,0.742,113,0.54,56,0.286,0.503,0.528,9.2,2.8,0.7,0.7,0.4,0.9,12,9.9,12.7,6.2,104.5,122.3"
",Corey Kispert,Was,*,F,26.8,17,19.9,15.7,9.6,29,0.724,36,0.694,67,0.403,0.636,0.657,8.9,2.5,1.7,0.5,0.2,0.6,11.4,10.6,13.1,6.7,128.3,125.3"
",Justin Champagnie,Was,*,G-F,24.5,21,13.3,14,8.6,29,0.862,46,0.543,28,0.25,0.48,0.553,4.6,4,0.9,0.7,0.4,0.3,8.5,5.5,9.4,7.7,129.9,116.7"
",Will Riley,Was,*,F,19.8,17,10.8,16.9,17.8,17,0.765,37,0.568,18,0.278,0.518,0.56,4.1,1.8,1,0.3,0.1,0.7,5.9,5.1,6.9,7.2,111,123.9"
",AJ Johnson,Was,*,G,21,10,4.5,15.6,13,4,0.75,10,0.2,3,0,0.154,0.237,0.7,0.6,0.4,0,0,0.2,1.3,1.1,1.7,4.9,67.4,125.6"
",Tristan Vukcevic,Was,*,F,22.8,20,11.8,24.8,19.1,46,0.804,59,0.627,38,0.237,0.521,0.589,6.9,2.4,1.1,0.4,0.5,1.2,9.3,8,10.4,8.9,109.4,115.6"
",Anthony Gill,Was,*,F,33.2,9,3.6,16.6,35,4,1,6,0.833,1,1,0.929,0.97,1.9,0.8,0,0,0.1,0.4,2.7,1.9,2.7,0,0,0"
",Sharife Cooper,Was,*,G,24.5,4,2.5,8.4,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0"
",Gary Trent Jr.,Mil,*,G,26.9,26,27.7,15.3,8.4,29,0.793,64,0.469,154,0.37,0.53,0.55,9.8,1.3,1.8,0.8,0.1,0.8,11.1,11.5,12.9,4.1,108.1,119.6"
",Giannis Antetokounmpo,Mil,*,F,31,17,29.1,37.7,16,167,0.635,271,0.657,23,0.435,0.656,0.669,28.9,10.1,6.1,0.9,0.9,3.3,39.1,35.1,45.2,16.7,129.3,108.5"
",Myles Turner,Mil,*,C-F,29.7,26,28.7,18,10.2,70,0.714,94,0.511,152,0.382,0.549,0.578,12.3,5.6,1.7,0.9,1.7,1.1,17.9,14,19.5,6.8,114.3,111"
",A.J. Green,Mil,*,G,26.2,24,29,13.1,10.2,24,0.792,13,0.538,163,0.485,0.713,0.724,11.3,2.8,2.1,0.5,0.1,0.8,14,13.4,16.2,5.6,131,114.1"
",Kevin Porter Jr.,Mil,*,G-F,25.6,7,29.3,25.4,16.3,32,0.906,50,0.54,37,0.595,0.69,0.737,21.3,4.4,6.9,2,0.3,2.4,25.7,28.1,32.6,11.8,138.7,113.2"
",Kyle Kuzma,Mil,*,F,30.4,25,26.1,21.8,13.4,76,0.737,183,0.579,68,0.338,0.56,0.592,13.5,4.5,2.1,0.8,0.5,1.6,18,15.6,20.1,7.7,112.4,111.7"
",Bobby Portis,Mil,*,F,30.8,26,21.9,22.8,9.8,23,0.609,157,0.497,100,0.47,0.578,0.582,12,5.8,1.3,0.5,0.1,1.1,17.8,13.3,19.1,8.2,111.4,112.6"
",Ryan Rollins,Mil,*,G,23.4,26,32.1,24.2,15.9,55,0.782,215,0.53,150,0.393,0.555,0.576,17.2,4.1,6,1.7,0.3,2.7,21.3,23.2,27.3,9.4,112.3,112.6"
",Cole Anthony,Mil,*,G,25.6,24,15.8,25.9,21.5,20,0.55,119,0.496,49,0.286,0.476,0.484,7.1,2.7,4.1,0.7,0.3,1.9,9.8,11.2,13.9,10.8,98.4,105.9"
",Taurean Prince,Mil,*,F,31.7,8,21.1,11.6,11.5,3,1,10,0.5,28,0.429,0.605,0.623,6.1,1.6,1,0.8,0.3,0.6,7.8,7.1,8.8,4.1,112.6,111"
",Amir Coffey,Mil,*,G-F,28.5,19,7.8,8.1,4.1,7,1,13,0.538,10,0.3,0.5,0.575,1.6,0.8,0.4,0,0.1,0.1,2.4,2,2.8,4.1,132.5,122.3"
",Jericho Sims,Mil,*,C,27.1,20,14.1,7.5,35.3,7,0.714,29,0.828,0,0,0.828,0.826,2.7,3.6,0.7,0.2,0.3,0.8,6.2,3.3,6.9,5.4,135,109.9"
",Gary Harris,Mil,*,G,31.2,17,14.5,7.8,21.2,4,1,15,0.467,18,0.333,0.485,0.518,2.1,1.4,1.2,0.7,0.2,0.5,3.5,3.4,4.8,4.2,106.3,113.9"
",Andre Jackson Jr.,Mil,*,G,24.1,12,6.5,12.9,23.4,4,0.75,8,0.375,8,0.25,0.375,0.422,1.3,0.8,1.3,0.4,0.2,0.4,2.1,2.6,3.4,6.8,109.4,106.9"
",Thanasis Antetokounmpo,Mil,*,F,33.4,10,2.5,24.4,9.7,9,0.667,9,0.667,0,0,0.667,0.694,1.8,0.4,0,0.3,0.3,0.1,2.2,1.8,2.2,0,0,0"
",Derrick Jones Jr.,Lac,*,F,28.8,13,24.9,15.5,9.8,28,0.786,46,0.717,46,0.348,0.62,0.652,10.5,2.4,1.1,0.8,1.2,0.8,12.8,11.5,13.9,4.9,127.1,116.8"
",Kawhi Leonard,Lac,*,F,34.5,15,32.4,30.7,8.8,74,0.973,188,0.537,92,0.38,0.548,0.606,25.3,5.7,3.1,2.1,0.4,1.8,31,28.3,34.1,9.4,119.5,115.6"
",Ivica Zubac,Lac,*,C,28.7,25,32.8,20.1,13.9,73,0.699,296,0.615,0,0,0.615,0.632,16.6,11.4,2.6,0.5,1,1.9,28,19.2,30.6,9.6,126.4,112.1"
",Bradley Beal,Lac,*,G,32.5,6,20.2,22,15.7,8,0.75,29,0.379,19,0.368,0.448,0.476,8.2,0.8,1.7,0.5,0,1.5,9,9.8,10.7,4.4,91.4,114.5"
",James Harden,Lac,*,G,36.3,24,35.6,31.1,18.4,204,0.897,189,0.529,231,0.368,0.542,0.626,26.6,5.3,8.2,1.3,0.4,4,31.9,34.8,40.1,11.8,120.9,116.6"
",John Collins,Lac,*,F-C,28.2,25,26.9,19.4,13.5,57,0.807,162,0.586,74,0.297,0.542,0.578,12.1,4.6,0.7,0.8,0.6,1.5,16.7,12.8,17.4,5,109.1,114.2"
",Kris Dunn,Lac,*,G,31.7,25,26.3,13.3,17,27,0.741,91,0.571,65,0.354,0.554,0.575,7.7,2.7,2.8,1.7,0.2,1.3,10.4,10.6,13.3,5.9,114.4,114"
",Brook Lopez,Lac,*,C,37.7,19,14.1,19.5,12.2,11,0.727,32,0.469,68,0.353,0.51,0.525,5.8,1.7,0.5,0.3,0.8,0.7,7.5,6.3,8,4.8,97.1,111"
",Chris Paul,Lac,*,G,40.6,16,14.2,14.1,22.2,2,0.5,26,0.308,30,0.333,0.411,0.413,2.9,1.8,3.3,0.7,0,1,4.7,6.3,8,7.3,100.5,112.5"
",Nicolas Batum,Lac,*,G-F,37,25,19.7,10.3,15.9,7,0.857,5,0.4,90,0.378,0.558,0.571,4.5,2.8,0.8,0.8,0.4,0.7,7.2,5.3,8,4.4,107.5,112.4"
",Cam Christie,Lac,*,G,20.4,16,11.5,18.9,8.9,28,0.714,32,0.375,29,0.31,0.418,0.484,4.4,2.3,0.6,0.4,0.1,0.4,6.7,5,7.3,6.3,104.9,116.3"
",Kobe Sanders,Lac,*,G,23.5,17,19.3,16.1,20.8,24,0.917,41,0.488,46,0.348,0.506,0.564,6.5,1.9,1.3,0.6,0.1,1.4,8.4,7.8,9.6,5.2,102.4,111.2"
",Kobe Brown,Lac,*,F,25.9,16,12,15.1,16.3,12,0.833,18,0.667,33,0.273,0.5,0.542,3.8,2.2,1.1,0.4,0.1,0.6,6,4.9,7.1,7,111.3,118.3"
",Yanic Konan Niederhauser,Lac,*,C,22.8,11,5.2,19.7,14.1,10,0.5,18,0.722,0,0,0.722,0.692,2.8,1.4,0.3,0,0.3,0.3,4.2,3.1,4.5,8.1,133.8,117.3"
",Lauri Markkanen,Uta,*,F-C,28.6,23,35.1,27.9,6.4,157,0.898,259,0.552,193,0.358,0.545,0.608,27.6,6.7,2,0.8,0.4,1.3,34.2,29.6,36.2,8.2,125.4,120.4"
",Kyle Filipowski,Uta,*,C,22.1,23,22.5,17.2,14,54,0.722,102,0.549,64,0.328,0.527,0.564,9.3,6.3,2.4,0.6,0.5,1.2,15.6,11.7,18,9.2,117.8,110"
",Walker Kessler,Uta,*,C,24.4,5,30.8,16.4,30,20,0.7,29,0.69,8,0.75,0.784,0.786,14.4,10.8,3,1.4,1.8,3.2,25.2,17.4,28.2,10.1,129.5,106.9"
",Svi Mykhailiuk,Uta,*,G-F,28.5,24,26,12.9,11.4,8,0.875,53,0.698,118,0.373,0.602,0.61,8.9,2.7,2.1,0.5,0.1,0.9,11.5,11,13.7,5.7,119,121.7"
",Keyonte George,Uta,*,G,22.1,24,33.4,27.8,18,168,0.911,232,0.513,155,0.342,0.513,0.597,22.9,4,6.8,0.9,0.3,3.5,26.9,29.7,33.7,10.2,116.1,118.4"
",Brice Sensabaugh,Uta,*,F,22.1,23,15.7,22.4,10.3,33,0.848,62,0.516,103,0.35,0.521,0.557,8.7,2.5,1.2,0.7,0.2,0.8,11.2,9.9,12.3,7.6,111.1,112.1"
",Ace Bailey,Uta,*,F,19.3,24,23.6,18.8,13.1,22,0.773,119,0.513,99,0.354,0.521,0.536,10.2,3.3,1.7,0.8,0.4,1.4,13.5,11.8,15.1,6.5,105.7,115.3"
",Taylor Hendricks,Uta,*,F,22.1,13,14.5,15.1,9.5,15,0.733,30,0.467,27,0.333,0.482,0.519,5.1,3.6,0.5,0.4,0.3,0.5,8.7,5.6,9.2,5.8,114.4,121.4"
",Jusuf Nurkic,Uta,*,C,31.3,23,24.2,18.5,25,55,0.509,137,0.526,34,0.206,0.482,0.494,8.4,9.6,3.9,1.5,0.4,2.5,18,12.3,21.8,11.2,101.4,105.4"
",Walter Clayton Jr.,Uta,*,G,22.8,20,16.7,17.6,20.2,24,0.958,51,0.549,55,0.309,0.505,0.558,6.5,2.2,3.6,0.5,0.2,1.4,8.7,10.1,12.2,8.9,113.5,113.4"
",Cody Williams,Uta,*,F,21.1,13,12.1,12,11.1,3,0.333,21,0.524,19,0.105,0.35,0.351,2.2,0.9,0.5,0.2,0.2,0.4,3.2,2.7,3.6,3.3,76.5,115.1"
",Julian Champagnie,San,*,F,24.5,24,28.8,15.2,11.4,51,0.843,54,0.574,147,0.381,0.572,0.611,11.4,5.5,1.5,1,0.5,1.1,16.9,12.8,18.3,6.3,121,111.7"
",Harrison Barnes,San,*,F,33.5,24,31.1,15.9,11.8,44,0.886,95,0.568,136,0.434,0.617,0.647,13.5,3.4,2.2,1,0.2,1.3,16.9,15.7,19,6,125.6,113.9"
",Victor Wembanyama,San,*,F-C,21.9,12,34.7,30.5,16.3,84,0.857,163,0.558,58,0.345,0.548,0.609,26.2,12.9,4,1.1,3.6,3.6,39.1,30.2,43.1,12.7,116.1,102"
