"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Gui Santos,Gol,*,F,23.5,19,9.2,18.7,22.4,14,0.714,22,0.591,33,0.273,0.482,0.515,3.3,1.8,0.6,0.3,0.1,0.8,5.2,3.9,5.7,6.6,98.1,103.1"
",Will Richard,Gol,*,G,23,23,19.1,14.5,10.9,31,0.774,49,0.735,73,0.397,0.652,0.675,8,2.7,1.1,1,0,0.7,10.7,9,11.7,6,131.2,106"
",Quinten Post,Gol,*,C,25.7,26,18.1,17.6,11.1,16,0.813,57,0.614,111,0.351,0.557,0.571,7.7,4.1,1.4,0.6,0.6,0.8,11.8,9.1,13.2,7.8,113.7,104.8"
",Austin Reaves,Lal,*,G,27.5,21,36.9,28.5,16.5,192,0.875,194,0.613,160,0.369,0.586,0.665,27.8,5.6,6.7,1,0.2,3.3,33.3,34.5,40,11,128.1,113.9"
",Rui Hachimura,Lal,*,F,27.8,23,33,15.1,8.9,36,0.75,130,0.592,96,0.469,0.639,0.653,13.7,3.7,0.8,0.5,0.2,1,17.5,14.6,18.3,4.2,123.8,117"
",Deandre Ayton,Lal,*,C,27.4,22,29.3,18.7,16,36,0.667,220,0.7,0,0,0.7,0.704,15.1,8.8,0.9,0.7,1,1.9,23.9,16,24.8,6.7,127.7,108.9"
",Gabe Vincent,Lal,*,G,29.5,13,21.7,9.9,9.8,7,1,11,0.273,44,0.364,0.491,0.525,4.7,0.9,1.5,0.5,0.1,0.5,5.6,6.2,7.2,3.4,114.2,110.9"
",Luka Doncic,Lal,*,F-G,26.8,18,37.3,38.1,15.7,219,0.804,224,0.585,190,0.337,0.548,0.617,35,9,9,1.5,0.6,4.3,44,44,53,15.2,121.8,109.7"
",Marcus Smart,Lal,*,G,31.8,15,26.9,17.3,19,32,0.938,42,0.643,77,0.312,0.529,0.586,10.4,2.3,2.8,1.6,0.3,1.9,12.7,13.2,15.5,6,110.9,109.2"
",Jake LaRavia,Lal,*,F,24.1,24,24.5,15.4,13.7,45,0.689,93,0.559,70,0.329,0.531,0.558,8.5,3.7,1.8,1.2,0.3,1.1,12.2,10.3,13.9,6.3,113.4,110.8"
