"NAME,TEAM,POS,SALARY,2P%,2PA,3P%,3PA,AGE,ApG,BpG,DRtg,FT%,FTA,GP,MpG,ORtg,P+A,P+R,P+R+A,PpG,RpG,SpG,TO%,TOpG,TS%,USG%,VI,eFG%,PERFORMANCE,EFFICIENCY,PERF_Z,LOG_SALARY,EXPECTED_SALARY,VALUE"
"Lauri Markkanen,UTA,F-C,46394100,0.552,259.0,0.358,193.0,28.6,2.0,0.4,120.4,0.898,157.0,23.0,35.1,125.4,29.6,34.2,36.2,27.6,6.7,0.8,6.4,1.3,0.608,27.9,8.2,0.545,36.692,0.791,2.342,17.652682853939165,31409143.274,14984956.726"
"Donovan Mitchell,CLE,G,46394100,0.612,263.0,0.394,254.0,29.3,5.4,0.3,112.0,0.842,152.0,24.0,34.4,121.8,36.7,36.0,41.5,31.3,4.8,1.4,13.5,3.4,0.642,33.2,10.8,0.602,40.514,0.873,2.698,17.652682853939165,39541571.812,6852528.188"
"Luka Doncic,LAL,F-G,45999660,0.585,224.0,0.337,190.0,26.8,9.0,0.6,109.7,0.804,219.0,18.0,37.3,121.8,44.0,44.0,53.0,35.0,9.0,1.5,15.7,4.3,0.617,38.1,15.2,0.548,39.593,0.861,2.612,17.644144563121706,37407713.888,8591946.112"
"Trae Young,ATL,G,45999660,0.477,44.0,0.192,26.0,27.2,7.8,0.2,115.8,0.821,39.0,5.0,27.8,112.6,25.6,19.8,27.6,17.8,2.0,0.8,12.4,2.0,0.511,29.5,9.4,0.407,4.857,0.106,-0.625,17.644144563121706,4615883.891,41383776.109"
"Anthony Edwards,MIN,G,45550512,0.56,225.0,0.416,161.0,24.4,3.8,0.8,112.1,0.833,144.0,20.0,34.3,120.3,32.5,33.6,37.4,28.7,4.9,1.2,13.2,3.0,0.638,31.4,9.5,0.587,31.445,0.69,1.853,17.634332422002238,22898264.778,22652247.222"
"Tyrese Haliburton,IND,INACTIVE,45550512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.634332422002238,3444933.285,42105578.715"
"Pascal Siakam,IND,F,45550512,0.52,331.0,0.365,115.0,31.7,4.0,0.5,111.6,0.685,165.0,24.0,34.2,113.9,28.3,31.3,35.3,24.3,7.0,1.3,10.3,2.1,0.562,28.9,10.3,0.527,35.559,0.781,2.236,17.634332422002238,29337714.75,16212797.25"
"Domantas Sabonis,SAC,F-C,42336000,0.56,125.0,0.2,20.0,29.6,3.7,0.2,107.7,0.725,51.0,11.0,33.2,113.3,20.9,29.5,33.2,17.2,12.3,1.2,16.2,2.5,0.564,22.7,11.1,0.524,14.23,0.336,0.249,17.561148345896818,8117679.591,34218320.409"
"O.G. Anunoby,NYK,F-G,39568966,0.57,86.0,0.394,94.0,28.4,1.9,0.7,107.3,0.788,33.0,15.0,30.6,117.1,17.5,21.0,22.9,15.7,5.3,1.9,13.0,1.8,0.604,20.2,7.1,0.581,15.928,0.403,0.407,17.493555682112937,8992066.167,30576899.833"
"Zion Williamson,NOP,F,39446090,0.521,142.0,0.0,3.0,25.4,4.0,0.5,117.8,0.723,101.0,10.0,30.9,114.4,26.1,27.7,31.7,22.1,5.6,1.6,17.6,3.1,0.583,29.8,10.2,0.51,11.83,0.3,0.025,17.490445487543145,7024987.827,32421102.173"
"Ja Morant,MEM,G,39446090,0.433,150.0,0.185,65.0,26.3,7.8,0.2,110.0,0.921,76.0,13.0,28.5,98.9,25.9,21.7,29.5,18.2,3.5,0.9,18.5,3.8,0.475,33.3,11.1,0.386,11.684,0.296,0.011,17.490445487543145,6963502.422,32482587.578"
"Darius Garland,CLE,G,39446090,0.435,69.0,0.266,64.0,25.9,6.2,0.1,114.5,0.868,38.0,10.0,29.0,103.1,20.6,17.4,23.6,14.4,3.0,0.8,16.8,2.7,0.481,25.0,8.9,0.417,8.031,0.204,-0.329,17.490445487543145,5588161.646,33857928.354"
