"NAME,TEAM,POS,SALARY,2P%,2PA,3P%,3PA,AGE,ApG,BpG,DRtg,FT%,FTA,GP,MpG,ORtg,P+A,P+R,P+R+A,PpG,RpG,SpG,TO%,TOpG,TS%,USG%,VI,eFG%,PERFORMANCE,EFFICIENCY,PERF_Z,LOG_SALARY,EXPECTED_SALARY,VALUE"
"Naz Reid,MIN,C-F,21551724,0.543,129.0,0.383,154.0,26.3,2.5,0.8,105.9,0.75,32.0,25.0,26.0,114.9,16.2,19.6,22.1,13.6,5.9,1.0,11.0,1.4,0.574,21.7,9.0,0.56,21.225,0.985,0.9,16.8859663713142,12371822.791,9179901.209"
"Nikola Vucevic,CHI,C,21481481,0.548,188.0,0.382,110.0,35.1,3.4,0.3,112.3,0.769,39.0,23.0,30.0,116.3,19.1,25.0,28.3,15.7,9.2,0.7,11.8,1.7,0.574,21.4,10.5,0.557,24.645,1.147,1.219,16.882701773086616,15201976.033,6279504.967"
"Dillon Brooks,PHO,G-F,21124110,0.534,204.0,0.309,139.0,29.9,1.8,0.1,109.3,0.825,80.0,19.0,31.1,106.8,23.6,24.8,26.6,21.7,3.1,1.4,11.1,2.3,0.546,29.9,6.4,0.506,19.699,0.933,0.758,16.865925600142496,11285300.307,9838809.693"
"Cameron Johnson,DEN,F,21057065,0.526,97.0,0.385,104.0,29.8,2.2,0.3,113.5,0.796,49.0,23.0,30.1,118.9,13.6,14.7,17.0,11.3,3.4,0.7,11.4,1.1,0.586,15.3,5.8,0.552,18.741,0.89,0.669,16.86274669123538,10652500.654,10404564.346"
"Norman Powell,MIA,G,20482758,0.548,186.0,0.436,140.0,32.6,2.4,0.3,108.5,0.861,122.0,20.0,30.7,120.9,27.0,28.4,30.7,24.6,3.8,1.2,10.2,1.9,0.648,27.7,7.9,0.594,25.226,1.232,1.273,16.835094017037413,15743420.68,4739337.32"
"Jarrett Allen,CLE,C,20000000,0.59,139.0,0.0,4.0,27.6,1.8,0.9,110.6,0.773,66.0,15.0,26.1,124.0,16.1,21.9,23.7,14.3,7.6,1.0,14.3,1.6,0.625,20.6,8.9,0.573,13.622,0.681,0.192,16.811242831518264,7826196.157,12173803.843"
"Jakob Poeltl,TOR,C,19500000,0.692,120.0,0.0,0.0,30.2,2.3,0.5,102.5,0.596,47.0,19.0,26.1,132.4,12.5,18.2,20.5,10.2,8.0,0.8,18.9,1.5,0.69,14.4,8.8,0.692,16.629,0.853,0.472,16.785925023533974,9380226.772,10119773.228"
"Josh Hart,NYK,G,19472240,0.605,114.0,0.398,93.0,30.8,5.0,0.3,105.7,0.822,45.0,23.0,29.6,127.1,17.4,20.3,25.2,12.4,7.8,1.3,18.5,2.0,0.631,16.8,10.6,0.601,24.868,1.277,1.24,16.78450041952379,15407848.82,4064391.18"
"Jusuf Nurkic,UTA,C,19375000,0.526,137.0,0.206,34.0,31.3,3.9,0.4,105.4,0.509,55.0,23.0,24.2,101.4,12.3,18.0,21.8,8.4,9.6,1.5,25.0,2.5,0.494,18.5,11.2,0.482,15.36,0.793,0.354,16.779494133203684,8689635.732,10685364.268"
"Harrison Barnes,SAS,F,19000000,0.568,95.0,0.434,136.0,33.5,2.2,0.2,113.9,0.886,44.0,24.0,31.1,125.6,15.7,16.9,19.0,13.5,3.4,1.0,11.8,1.3,0.647,15.9,6.0,0.617,22.889,1.205,1.056,16.759949537130716,13676363.658,5323636.342"
"Collin Sexton,CHO,G,18975000,0.545,154.0,0.366,71.0,26.9,4.2,0.2,115.5,0.879,91.0,21.0,25.2,116.9,19.8,17.8,22.0,15.5,2.2,0.7,18.7,2.5,0.615,25.2,8.3,0.547,15.481,0.816,0.365,16.75863288124597,8753350.689,10221649.311"
"Malik Monk,SAC,G,18797619,0.467,135.0,0.402,102.0,27.9,2.5,0.5,118.8,0.85,40.0,22.0,23.8,108.4,15.3,15.0,17.4,12.9,2.1,0.9,10.2,1.2,0.556,22.8,6.9,0.525,13.749,0.731,0.204,16.749240770843354,7885902.082,10911716.918"
"Santi Aldama,MEM,F-C,18485916,0.563,160.0,0.342,111.0,24.9,3.0,0.7,109.8,0.672,64.0,25.0,26.4,117.3,16.4,20.0,22.9,13.5,6.5,1.0,8.7,1.0,0.563,20.4,9.7,0.542,22.457,1.215,1.015,16.73251970281731,13324766.369,5161149.631"
"Rui Hachimura,LAL,F,18259259,0.592,130.0,0.469,96.0,27.8,0.8,0.2,117.0,0.75,36.0,23.0,33.0,123.8,14.6,17.5,18.3,13.7,3.7,0.5,8.9,1.0,0.653,15.1,4.2,0.639,21.738,1.191,0.948,16.72018285180385,12759884.231,5499374.769"
"Luguentz Dort,OKC,G,18222222,0.543,35.0,0.325,83.0,26.7,1.1,0.4,99.6,0.929,14.0,16.0,28.7,113.5,9.4,12.1,13.3,8.3,3.9,0.9,7.8,0.6,0.532,12.7,4.6,0.504,11.456,0.629,-0.01,16.718152396257132,6868737.399,11353484.601"
"Alex Caruso,OKC,G,18102000,0.464,28.0,0.36,50.0,31.8,2.4,0.3,101.2,0.8,10.0,16.0,18.5,107.5,7.9,7.8,10.3,5.5,2.3,1.7,17.8,1.1,0.534,14.6,6.7,0.513,6.49,0.359,-0.473,16.711532987369253,5092975.101,13009024.899"
"Ivica Zubac,LAC,C,18102000,0.615,296.0,0.0,0.0,28.7,2.6,1.0,112.1,0.699,73.0,25.0,32.8,126.4,19.2,28.0,30.6,16.6,11.4,0.5,13.9,1.9,0.632,20.1,9.6,0.615,32.732,1.808,1.973,16.711532987369253,24743643.554,-6641643.554"
"Andrew Nembhard,IND,G-F,18102000,0.473,148.0,0.361,83.0,25.9,6.6,0.2,115.7,0.851,87.0,17.0,31.3,115.3,24.5,20.2,26.8,17.9,2.3,0.9,14.7,2.4,0.564,24.2,8.3,0.498,18.258,1.009,0.624,16.711532987369253,10347259.728,7754740.272"
"Zach Collins,CHI,F-C,18080496,0.583,12.0,0.429,7.0,28.1,1.3,0.7,114.0,0.8,5.0,3.0,19.8,142.0,10.3,15.0,16.3,9.0,6.0,0.0,4.9,0.3,0.637,15.6,8.3,0.605,1.813,0.1,-0.909,16.710344346180328,3842483.52,14238012.48"
"Patrick Williams,CHI,F,18000000,0.352,71.0,0.417,84.0,24.3,1.3,0.3,113.9,0.655,29.0,23.0,21.2,102.1,8.8,10.9,12.2,7.6,3.3,1.0,13.4,1.0,0.519,16.4,6.0,0.5,9.833,0.546,-0.161,16.70588231586044,6228908.479,11771091.521"
"Kevin Huerter,CHI,G-F,17991071,0.641,92.0,0.3,90.0,27.3,2.4,0.7,113.7,0.848,33.0,19.0,24.1,112.2,14.4,15.2,17.6,11.9,3.3,0.8,11.6,1.3,0.578,20.0,7.6,0.547,12.517,0.696,0.089,16.705386137228622,7322010.799,10669060.201"
"Keldon Johnson,SAS,F-G,17500000,0.676,145.0,0.344,64.0,26.2,1.7,0.1,108.1,0.746,71.0,24.0,24.0,134.4,14.8,19.7,21.4,13.1,6.5,0.8,9.9,1.0,0.656,19.3,8.8,0.627,19.588,1.119,0.748,16.67771143889374,11209831.19,6290168.81"
"Grayson Allen,PHO,G,16875000,0.5,78.0,0.399,143.0,30.2,3.9,0.2,112.3,0.78,41.0,17.0,30.8,119.1,20.5,19.3,23.2,16.5,2.8,1.6,11.6,1.7,0.588,21.4,7.3,0.563,17.891,1.06,0.59,16.641343794722868,10120796.239,6754203.761"
"Duncan Robinson,DET,F,26722692,0.581,43.0,0.405,173.0,31.6,2.0,0.3,110.5,0.778,36.0,23.0,31.3,127.8,14.5,15.6,17.6,12.5,3.0,1.0,7.3,0.7,0.621,14.1,5.4,0.602,22.299,0.834,1.001,17.101023650060924,13198379.402,13524312.598"
"Klay Thompson,DAL,G,16666667,0.403,67.0,0.357,185.0,35.8,1.4,0.3,114.5,0.813,16.0,24.0,21.8,100.3,12.4,13.6,15.0,11.0,2.6,0.3,7.3,0.8,0.512,22.5,6.3,0.5,11.355,0.681,-0.019,16.62892129472431,6827103.436,9839563.564"
"Bogdan Bogdanovic,LAC,G,16020000,0.469,32.0,0.352,54.0,33.3,3.1,0.1,112.4,0.882,17.0,11.0,25.3,111.5,12.4,12.6,15.7,9.3,3.4,0.7,13.1,1.2,0.546,16.8,7.3,0.506,6.755,0.422,-0.448,16.589348499604487,5174712.465,10845287.535"
"Max Strus,CLE,INACTIVE,15936452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,16.584119621858097,3444933.285,12491518.715"
"Terance Mann,BRK,G-F,15500000,0.516,91.0,0.349,63.0,29.2,3.7,0.1,114.4,0.833,36.0,22.0,26.4,123.5,12.3,12.1,15.8,8.6,3.5,0.7,13.0,1.0,0.559,14.3,7.3,0.519,15.338,0.99,0.352,16.556350581889475,8678165.51,6821834.49"
"Paolo Banchero,ORL,F,15334769,0.503,153.0,0.298,57.0,23.1,3.8,0.8,106.2,0.778,126.0,15.0,31.3,113.5,24.0,28.1,31.9,20.2,7.9,0.6,15.0,2.5,0.571,26.8,10.8,0.488,18.145,1.183,0.613,16.545633291836985,10276624.219,5058144.781"
"Nickeil Alexander-Walker,ATL,G,15161800,0.541,183.0,0.391,179.0,27.3,3.3,0.7,115.1,0.864,103.0,24.0,32.6,115.0,24.0,24.2,27.4,20.7,3.5,1.0,12.5,2.2,0.61,24.8,7.6,0.564,28.287,1.866,1.559,16.53428966463947,18931021.367,-3769221.367"
"Onyeka Okongwu,ATL,F-C,15000000,0.618,173.0,0.346,127.0,25.0,3.0,1.2,106.9,0.757,70.0,25.0,30.6,115.0,19.0,23.2,26.2,16.0,7.2,0.9,14.5,2.0,0.603,21.0,9.2,0.577,27.611,1.841,1.496,16.523560759066484,18176145.662,-3176145.662"
"Jonathan Isaac,ORL,F,15000000,0.692,26.0,0.208,24.0,28.2,0.1,0.5,105.7,0.5,22.0,22.0,10.3,107.3,2.9,6.0,6.0,2.8,3.1,0.3,13.7,0.4,0.519,12.5,3.7,0.51,3.574,0.238,-0.745,16.523560759066484,4272338.872,10727661.128"
"Isaiah Stewart,DET,F-C,15000000,0.621,103.0,0.407,54.0,24.6,1.3,1.9,100.9,0.739,46.0,22.0,22.4,126.1,11.6,16.3,17.5,10.4,5.9,0.2,13.7,1.1,0.643,16.7,7.7,0.618,15.767,1.051,0.392,16.523560759066484,8905539.362,6094460.638"
"Daniel Gafford,DAL,F-C,14386320,0.61,82.0,0.0,0.0,27.2,1.3,1.4,103.3,0.791,43.0,15.0,22.9,126.0,10.2,15.3,16.6,8.9,6.4,0.9,20.3,1.4,0.664,15.0,7.3,0.61,10.5,0.73,-0.099,16.481788313010235,6484210.188,7902109.812"
"Deni Avdija,POR,F,14375000,0.539,243.0,0.374,163.0,24.9,6.2,0.7,111.9,0.806,237.0,25.0,34.2,122.4,31.7,32.6,38.8,25.4,7.2,0.7,18.0,3.6,0.623,27.8,12.2,0.548,38.47,2.676,2.508,16.48100114464769,34960117.599,-20585117.599"
"Jordan Clarkson,UTA,G,16581988,0.555,110.0,0.289,97.0,33.5,1.7,0.2,109.4,0.8,40.0,24.0,20.1,110.1,11.6,12.0,13.6,9.9,2.0,0.4,11.9,1.2,0.53,22.0,6.4,0.498,10.489,0.633,-0.1,16.623827603981763,6480112.02,10101875.98"
"P.J. Washington,DAL,F,14152174,0.503,175.0,0.327,101.0,27.3,2.2,1.2,107.6,0.683,82.0,21.0,31.6,98.7,18.0,23.4,25.6,15.8,7.6,1.2,16.3,2.6,0.53,23.3,8.1,0.498,20.986,1.483,0.878,16.46537880982814,12194926.332,1957247.668"
"Steven Adams,HOU,C,14130434,0.532,79.0,0.0,0.0,32.4,1.6,0.7,104.9,0.762,42.0,18.0,21.6,135.2,8.0,15.5,17.1,6.4,9.1,0.7,20.1,1.1,0.595,12.4,8.4,0.532,11.653,0.825,0.008,16.463841468980245,6950745.781,7179688.219"
"Dennis Schroder,SAC,G,14104000,0.437,126.0,0.333,81.0,32.2,6.0,0.2,119.1,0.78,41.0,18.0,29.2,104.1,18.4,16.1,22.1,12.4,3.7,0.8,14.4,1.9,0.495,21.0,8.9,0.461,14.583,1.034,0.282,16.461969003059842,8292580.609,5811419.391"
"Caris LeVert,DET,G,14104000,0.507,67.0,0.422,64.0,31.3,3.1,0.5,112.5,0.63,46.0,19.0,20.5,115.5,12.5,11.0,14.1,9.4,1.6,0.7,17.1,1.4,0.588,18.7,7.0,0.569,9.496,0.673,-0.193,16.461969003059842,6103687.229,8000312.771"
"Damian Lillard,POR,INACTIVE,36620603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.416121563486865,3444933.285,33175669.715"
"Obi Toppin,IND,F,14000000,0.632,19.0,0.176,17.0,27.8,1.7,0.0,109.8,1.0,9.0,3.0,27.4,101.2,15.7,20.7,22.3,14.0,6.7,1.0,14.1,2.0,0.526,23.3,7.9,0.458,2.224,0.159,-0.87,16.454567887579532,3938668.351,10061331.649"
"Corey Kispert,WAS,F,13975000,0.694,36.0,0.403,67.0,26.8,1.7,0.2,125.3,0.724,29.0,17.0,19.9,128.3,10.6,11.4,13.1,8.9,2.5,0.5,9.6,0.6,0.657,15.7,6.7,0.636,8.376,0.599,-0.297,16.452780577005438,5705466.061,8269533.939"
"Herbert Jones,NOP,F,13937574,0.442,86.0,0.342,73.0,27.2,2.3,0.3,112.8,0.786,28.0,18.0,29.1,103.5,11.9,13.6,15.8,9.6,3.9,1.5,14.0,1.4,0.505,15.7,6.1,0.475,12.598,0.904,0.096,16.450098916587557,7357674.858,6579899.142"
"Austin Reaves,LAL,G,13937574,0.613,194.0,0.369,160.0,27.5,6.7,0.2,113.9,0.875,192.0,21.0,36.9,128.1,34.5,33.3,40.0,27.8,5.6,1.0,16.5,3.3,0.665,28.5,11.0,0.586,37.06,2.659,2.376,16.450098916587557,32113035.773,-18175461.773"
"Cooper Flagg,DAL,F,13825920,0.554,269.0,0.25,84.0,19.0,3.4,0.7,109.9,0.817,93.0,25.0,33.7,109.1,20.9,23.8,27.2,17.5,6.3,1.3,12.8,2.1,0.555,22.3,8.6,0.511,29.735,2.151,1.694,16.442055649270696,20656918.607,-6830998.607"
"Chet Holmgren,OKC,C-F,13731368,0.665,179.0,0.395,81.0,23.6,1.7,1.5,96.1,0.782,78.0,21.0,28.7,123.1,20.5,26.9,28.6,18.8,8.0,0.6,13.9,2.0,0.671,24.2,8.8,0.642,24.527,1.786,1.208,16.435193408614776,15094858.575,-1363490.575"
"Josh Green,CHO,G,13666667,1.0,1.0,0.0,1.0,25.1,1.0,0.0,111.2,0.0,0.0,1.0,17.4,123.9,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.5,4.8,0.0,0.5,0.288,0.021,-1.051,16.430470360390714,3505197.429,10161469.571"
"Grant Williams,CHO,INACTIVE,13645500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,16.428920354912364,3444933.285,10200566.715"
"Bobby Portis,MIL,F,13445754,0.497,157.0,0.47,100.0,30.8,1.3,0.1,112.6,0.609,23.0,26.0,21.9,111.4,13.3,17.8,19.1,12.0,5.8,0.5,9.8,1.1,0.582,22.8,8.2,0.578,15.298,1.138,0.348,16.41417392643992,8657389.55,4788364.45"
"Kelly Olynyk,SAS,F-C,13445122,0.684,19.0,0.333,21.0,34.7,1.7,0.0,101.6,0.762,21.0,14.0,11.2,128.1,6.2,7.0,8.7,4.5,2.5,0.4,21.4,0.8,0.64,16.3,9.6,0.588,3.378,0.251,-0.763,16.41412692164914,4222234.884,9222887.116"
"Victor Wembanyama,SAS,F-C,13376880,0.558,163.0,0.345,58.0,21.9,4.0,3.6,102.0,0.857,84.0,12.0,34.7,116.1,30.2,39.1,43.1,26.2,12.9,1.1,16.3,3.6,0.609,30.5,12.7,0.548,22.466,1.68,1.016,16.40903840161627,13332552.7,44327.3"
"Robert Williams III,POR,C-F,13285713,0.75,52.0,0.125,8.0,28.2,0.7,1.7,110.0,0.429,7.0,15.0,15.3,140.9,6.3,11.1,11.8,5.6,5.5,0.6,9.1,0.4,0.666,11.9,7.3,0.675,6.815,0.513,-0.442,16.402199805288017,5193505.346,8092207.654"
"Zaccharie Risacher,ATL,F,13197720,0.598,122.0,0.29,100.0,20.7,1.6,0.6,112.6,0.677,31.0,23.0,24.8,107.4,12.6,13.8,15.4,11.0,2.8,1.1,7.9,0.8,0.539,18.9,5.9,0.525,14.628,1.108,0.286,16.395554645364797,8315059.696,4882660.304"
"Cole Anthony,MEM,G,15396274,0.496,119.0,0.286,49.0,25.6,4.1,0.3,105.9,0.55,20.0,24.0,15.8,98.4,11.2,9.8,13.9,7.1,2.7,0.7,21.5,1.9,0.484,25.9,10.8,0.476,7.63,0.496,-0.366,16.549636090057756,5454892.033,9941381.967"
"Mitchell Robinson,NYK,C-F,12954546,0.667,39.0,0.0,0.0,27.7,1.1,0.9,99.2,0.2,25.0,16.0,17.5,139.9,4.6,11.8,12.8,3.6,8.2,0.8,25.0,0.8,0.57,9.5,7.3,0.667,8.06,0.622,-0.326,16.37695732697987,5598073.438,7356472.562"
"Coby White,CHI,G,12888889,0.537,67.0,0.298,57.0,25.8,5.0,0.0,117.5,0.8,65.0,8.0,29.3,111.3,26.9,24.9,29.9,21.9,3.0,0.5,15.6,2.9,0.573,31.2,9.4,0.496,7.975,0.619,-0.334,16.37187618035511,5569306.936,7319582.064"
"Dorian Finney-Smith,HOU,INACTIVE,12700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,16.35711255142882,3444933.285,9255066.715"
"Brandon Clarke,MEM,INACTIVE,12500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,16.34123920227253,3444933.285,9055066.715"
"Dylan Harper,SAS,G,12370320,0.538,119.0,0.273,33.0,19.8,3.9,0.0,106.9,0.717,46.0,14.0,21.7,114.5,17.3,16.5,20.4,13.4,3.1,0.9,12.6,1.6,0.546,27.0,10.0,0.51,8.907,0.72,-0.247,16.330810613072067,5891018.396,6479301.604"
"Isaiah Joe,OKC,G,12362338,0.6,30.0,0.419,117.0,26.4,1.5,0.2,103.4,0.923,39.0,17.0,23.3,127.5,14.4,15.7,17.2,12.9,2.8,0.6,9.8,0.9,0.667,19.7,6.5,0.622,11.969,0.968,0.038,16.330165150681644,7084387.002,5277950.998"
"Jabari Smith Jr.,HOU,F,12350392,0.541,135.0,0.356,118.0,22.6,2.0,0.8,106.6,0.797,64.0,21.0,33.5,124.1,17.3,22.0,23.9,15.4,6.6,0.8,10.0,1.3,0.574,18.0,7.0,0.538,24.858,2.013,1.239,16.329198361425217,15398872.941,-3048480.941"
"Donte DiVincenzo,MIN,G,11990000,0.533,60.0,0.382,199.0,28.9,3.7,0.4,111.2,0.833,54.0,25.0,31.3,122.5,17.2,17.5,21.2,13.5,4.0,1.0,11.3,1.3,0.596,17.1,7.5,0.564,25.518,2.128,1.301,16.299583527003698,16023287.418,-4033287.418"
"Brandon Miller,CHO,F,11968800,0.451,71.0,0.282,71.0,23.1,3.2,1.2,113.7,0.833,30.0,9.0,27.0,98.0,19.8,19.3,22.6,16.6,2.8,0.7,12.9,2.3,0.48,30.4,7.8,0.437,6.877,0.575,-0.437,16.29781382188216,5212915.733,6755884.267"
"Alexandre Sarr,WAS,C,11808240,0.561,189.0,0.346,52.0,20.6,3.3,2.0,119.6,0.627,59.0,16.0,29.7,112.8,22.2,27.5,30.8,18.9,8.6,0.8,12.4,2.1,0.568,26.5,10.9,0.552,18.849,1.596,0.679,16.28430815081909,10721796.248,1086443.752"
"Davion Mitchell,MIA,G,11600000,0.569,123.0,0.393,61.0,27.3,7.8,0.0,108.3,0.622,37.0,24.0,30.4,126.9,17.6,12.5,20.3,9.8,2.7,1.3,15.6,1.4,0.587,13.1,7.8,0.576,24.309,2.096,1.188,16.266515656076592,14897294.216,-3297294.216"
"Moses Moody,GSW,G,11574075,0.457,70.0,0.388,147.0,23.5,1.5,0.7,108.9,0.83,53.0,24.0,24.8,113.2,13.1,14.9,16.3,11.6,3.3,1.0,11.4,1.2,0.58,19.1,6.2,0.541,16.176,1.398,0.43,16.2642782411364,9127537.865,2446537.135"
"Jarred Vanderbilt,LAL,F,11571429,0.5,36.0,0.267,15.0,26.7,1.5,0.3,104.7,0.842,19.0,15.0,17.3,103.8,5.7,9.5,10.9,4.3,5.2,0.9,30.0,1.5,0.539,13.6,7.5,0.471,4.838,0.418,-0.627,16.264049600618435,4610340.128,6961088.872"
"Matisse Thybulle,POR,G-F,11550000,0.5,4.0,0.667,6.0,28.8,0.8,0.0,100.0,1.0,4.0,4.0,12.2,163.7,5.8,6.0,6.8,5.0,1.0,2.5,8.7,0.3,0.85,10.4,5.2,0.8,1.56,0.135,-0.932,16.26219599493208,3784371.516,7765628.484"
"Gabe Vincent,LAL,G,11500000,0.273,11.0,0.364,44.0,29.5,1.5,0.1,110.9,1.0,7.0,13.0,21.7,114.2,6.2,5.6,7.2,4.7,0.9,0.5,9.8,0.5,0.525,9.9,3.4,0.491,4.908,0.427,-0.62,16.25785759333348,4629964.604,6870035.396"
"Keegan Murray,SAC,F,11144093,0.575,80.0,0.259,58.0,25.3,1.6,1.4,117.0,0.708,24.0,10.0,36.8,108.8,17.0,22.8,24.4,15.4,7.4,1.8,5.5,0.8,0.518,18.1,6.2,0.496,13.208,1.185,0.153,16.226420139704874,7633272.083,3510820.917"
"VJ Edgecombe,PHI,G,11108880,0.442,165.0,0.387,106.0,20.4,4.0,0.4,108.9,0.755,53.0,21.0,34.8,112.2,18.8,20.3,24.3,14.7,5.6,1.3,11.7,1.7,0.525,18.9,7.9,0.496,24.324,2.19,1.189,16.223255346453126,14911053.19,-3802173.19"
"Aaron Nesmith,IND,G-F,11000000,0.359,64.0,0.373,83.0,26.2,1.5,0.3,114.3,0.795,39.0,11.0,30.4,111.7,17.0,19.9,21.5,15.5,4.5,0.8,5.1,0.7,0.518,21.4,6.2,0.473,10.156,0.923,-0.131,16.213405830762646,6351386.371,4648613.629"
"Luke Kornet,SAS,C-F,11000000,0.625,72.0,0.0,0.0,30.4,2.3,1.5,110.7,0.805,41.0,16.0,25.5,152.1,9.9,14.0,16.3,7.7,6.3,0.3,13.2,0.7,0.683,10.5,7.6,0.625,13.907,1.264,0.218,16.213405830762646,7961362.829,3038637.171"
"Isaac Okoro,CHI,F-G,11000000,0.567,60.0,0.367,49.0,24.9,1.6,0.6,112.7,0.762,21.0,16.0,24.9,116.2,10.2,11.3,12.9,8.6,2.7,0.4,12.1,0.9,0.584,13.9,5.4,0.56,9.294,0.845,-0.211,16.213405830762646,6029865.504,4970134.496"
"Maxi Kleber,LAL,F,11000000,0.429,7.0,0.375,8.0,33.9,0.6,0.3,107.8,0.75,4.0,10.0,12.1,127.6,2.4,3.6,4.2,1.8,1.8,0.2,11.5,0.2,0.537,6.8,4.1,0.5,2.053,0.187,-0.886,16.213405830762646,3898511.154,7101488.846"
"Luke Kennard,ATL,G,11000000,0.542,48.0,0.427,75.0,29.5,2.3,0.0,115.9,0.952,21.0,23.0,20.5,120.5,9.7,9.2,11.5,7.3,1.9,0.8,15.7,1.0,0.635,13.9,6.2,0.602,10.566,0.961,-0.093,16.213405830762646,6510258.922,4489741.078"
"Wendell Carter Jr.,ORL,C-F,10850000,0.588,114.0,0.412,68.0,26.7,2.0,0.7,102.0,0.785,79.0,24.0,29.7,127.8,13.7,19.3,21.3,11.7,7.7,0.6,17.2,1.6,0.646,14.9,7.6,0.599,23.537,2.169,1.116,16.199675637950744,14220932.914,-3370932.914"
"Mike Conley,MIN,G,10774038,0.355,31.0,0.366,71.0,38.2,3.2,0.1,110.5,0.931,29.0,24.0,19.1,124.2,8.5,7.1,10.3,5.3,1.8,0.6,14.9,0.8,0.553,12.3,6.5,0.49,10.024,0.93,-0.143,16.192649909225864,6301012.14,4473025.86"
"Scoot Henderson,POR,INACTIVE,10748040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,16.19023397033322,3444933.285,7303106.715"
"Reed Sheppard,HOU,G,10603560,0.515,97.0,0.444,126.0,21.5,3.2,0.5,106.9,0.714,21.0,22.0,24.9,127.4,16.1,16.0,19.2,12.9,3.1,1.5,11.5,1.3,0.609,19.6,8.1,0.601,18.212,1.718,0.62,16.176700351754228,10318407.241,285152.759"
"Jonas Valanciunas,DEN,C,10395000,0.611,131.0,0.3,10.0,33.6,1.3,0.5,101.3,0.739,46.0,24.0,12.8,124.0,9.7,13.1,14.4,8.5,4.7,0.2,14.5,1.0,0.629,25.9,11.7,0.599,8.064,0.776,-0.326,16.15683547927425,5599283.802,4795716.198"
"T.J. McConnell,IND,G,10200000,0.544,114.0,0.353,17.0,33.7,4.3,0.2,111.1,1.0,1.0,15.0,16.6,119.0,13.9,11.9,16.3,9.5,2.4,1.2,7.7,0.7,0.544,23.8,11.1,0.542,7.107,0.697,-0.415,16.1378982782545,5285577.591,4914422.409"
"Royce O'Neale,PHO,F,10125000,0.488,41.0,0.407,177.0,32.5,2.9,0.2,110.5,0.7,10.0,25.0,29.8,115.8,13.4,15.8,18.8,10.5,5.3,1.3,14.8,1.5,0.591,14.6,7.3,0.587,21.431,2.117,0.92,16.130518170956876,12526720.128,-2401720.128"
"Jaden Ivey,DET,G,10107163,0.515,33.0,0.385,26.0,23.8,1.4,0.1,106.2,0.875,16.0,10.0,14.4,115.4,9.2,10.4,11.8,7.8,2.6,0.4,15.6,1.1,0.591,21.9,8.5,0.542,3.078,0.305,-0.791,16.128754938363183,4146649.769,5960513.231"
"Aaron Wiggins,OKC,G,10102803,0.522,67.0,0.438,80.0,26.9,2.1,0.6,101.6,0.769,13.0,14.0,25.1,116.2,15.3,16.4,18.5,13.2,3.2,0.6,10.3,1.2,0.606,20.9,7.1,0.595,10.487,1.038,-0.1,16.128323468061094,6479302.043,3623500.957"
"Sam Hauser,BOS,F,10044644,0.364,22.0,0.342,149.0,28.0,1.4,0.3,115.4,0.75,4.0,25.0,22.3,111.7,8.3,10.4,11.8,6.9,3.5,0.6,7.1,0.5,0.498,14.3,5.8,0.494,11.748,1.17,0.017,16.12255011508547,6990633.672,3054010.328"
"Kon Knueppel,CHO,G-F,10015680,0.562,137.0,0.404,213.0,20.4,3.5,0.2,115.0,0.915,59.0,25.0,33.6,117.5,22.1,24.1,27.6,18.6,5.4,0.7,14.4,2.4,0.62,21.8,8.4,0.589,28.908,2.886,1.616,16.119662422929853,19652492.646,-9636812.646"
"Derrick Jones Jr.,LAC,F,10000000,0.717,46.0,0.348,46.0,28.8,1.1,1.2,116.8,0.786,28.0,13.0,24.9,127.1,11.5,12.8,13.9,10.5,2.4,0.8,9.8,0.8,0.652,15.5,4.9,0.62,9.132,0.913,-0.227,16.11809565095832,5971261.522,4028738.478"
